Data collection started on {09/12/2019 16:06:08.578}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.4600000000	84.7257190814	-67.1931029221	-46.2882429236	0.1602197299	1.2588693065	0.3280689708	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0265506981	0.9307392996	-0.2653238727	-0.0215457389	0.0936903944	-0.9236591135	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1540245670	-0.0590524147	-0.1347371633	0.2322117952	-0.0740672923	0.0577706569	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2336919203	2.8076600290	0.8250125887	2.4750377661	
0.4800000000	116.8917372396	-69.4209201190	-59.6093690394	0.3128099489	1.4419775692	0.0991836423	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0021362631	0.9615014878	-0.3494316014	-0.0164187076	0.0927138170	-0.9239032578	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1519493400	-0.0617990387	-0.1367513542	0.2307469291	-0.0741283284	0.0558785382	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8076600290	0.8250125887	2.4750377661	
0.5000000000	109.5216296635	-55.9472037842	-50.8964675364	0.2822919051	1.1978332189	0.2365148394	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0254520485	0.9250019074	-0.3600518807	-0.0216678111	0.0930800336	-0.9235370413	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1494468605	-0.0641184100	-0.1375448234	0.2300755322	-0.0718089570	0.0596017395	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
0.5200000000	53.6430914778	-25.7648584726	-19.0966659037	0.4043640803	1.2283512627	0.1754787518	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0193484398	0.8189211872	-0.3555352102	-0.0204470893	0.0921034562	-0.9234149691	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1490196078	-0.0662546731	-0.1366292821	0.2309300374	-0.0704051270	0.0486762799	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2275883116	2.8052185855	0.8250125887	2.4750377661	
0.5400000000	-7.9880979629	-13.5423819333	7.2098878462	0.5722133211	1.2588693065	0.0686655985	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0612191958	0.7803463798	-0.3761654078	-0.0176394293	0.0940566110	-0.9221942473	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1478599222	-0.0686350805	-0.1363241016	0.2332494087	-0.0716258488	0.0492866407	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
0.5600000000	-47.8294041352	-15.5870908675	19.9816891737	0.6790264744	1.3046463722	0.2365148394	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0781872282	0.7801022354	-0.3903257801	-0.0195925841	0.0907606622	-0.9241474022	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1475547417	-0.0678416114	-0.1374837873	0.2299534600	-0.0716258488	0.0498970016	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8076600290	0.8250125887	2.4750377661	
0.5800000000	-54.4213015946	-14.6715495537	17.4486915389	0.8621347372	1.1825741970	0.3433279927	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1049210346	0.8389410239	-0.4190127413	-0.0242313268	0.0907606622	-0.9246356909	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1449301900	-0.0666819257	-0.1396200504	0.2329442283	-0.0711375601	0.0517891203	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2312504768	2.8076600290	0.8250125887	2.4750377661	
0.6000000000	-45.7541771572	-0.6790264744	20.4699778744	0.6790264744	1.1673151751	0.3280689708	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0886854353	0.8537117571	-0.4256046387	-0.0210574502	0.0913710231	-0.9252460517	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1452353704	-0.0641184100	-0.1406576638	0.2322117952	-0.0708934157	0.0488593881	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
0.6200000000	-17.9217212177	7.1793698024	13.3897917144	0.4348821241	1.2893873503	0.4348821241	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0825818265	0.8864271000	-0.4308537423	-0.0186160067	0.0919813840	-0.9241474022	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1445029374	-0.0628976883	-0.1413290608	0.2339818418	-0.0725413901	0.0519722286	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2275883116	2.8052185855	0.8250125887	2.4750377661	
0.6400000000	1.7166399634	9.8496986343	6.0349431601	0.6027313649	1.2893873503	0.4348821241	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0758678569	0.8843518730	-0.4243839170	-0.0189822232	0.0934462501	-0.9219501030	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1461509117	-0.0627145800	-0.1408407721	0.2317235065	-0.0719310292	0.0628976883	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
0.6600000000	-0.9079118029	13.6491950866	4.7837033646	0.6027313649	1.3046463722	0.2975509270	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0573128862	0.8616464485	-0.3834897383	-0.0226443885	0.0910048066	-0.9219501030	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1465171283	-0.0621652552	-0.1409018082	0.2330663005	-0.0730907149	0.0429999237	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8076600290	0.8250125887	2.4750377661	
0.6800000000	-27.3975738155	18.6999313344	12.2758831159	0.6942854963	1.0757610437	0.3891050584	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0328984512	0.8333257038	-0.3452811475	-0.0195925841	0.0930800336	-0.9246356909	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1463950561	-0.0643015183	-0.1388876173	0.2332494087	-0.0749217975	0.0545357443	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8064393072	0.8250125887	2.4750377661	
0.7000000000	-48.0125123980	15.2056153201	19.2645151446	0.6637674525	1.1978332189	0.2822919051	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0224002441	0.8582284276	-0.3327077134	-0.0182497902	0.0949111162	-0.9201190204	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1482261387	-0.0622873274	-0.1396200504	0.2308690013	-0.0738841840	0.0544747082	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2288090333	2.8064393072	0.8250125887	2.4750377661	
0.7200000000	-56.1913481346	9.3919279774	17.5249866484	0.5722133211	1.0452429999	0.4806591897	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0278934920	0.9059586481	-0.3399099718	-0.0193484398	0.0913710231	-0.9254901961	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1475547417	-0.0610666056	-0.1395590143	0.2286106661	-0.0729686427	0.0564888991	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2275883116	2.8052185855	0.8250125887	2.4750377661	
0.7400000000	-40.3372243839	7.8507667659	12.1385519188	0.6179903868	1.2436102846	0.4348821241	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0221560998	0.9760280766	-0.3585870146	-0.0227664607	0.0891737240	-0.9241474022	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1487754635	-0.0587472343	-0.1399862669	0.2277561608	-0.0710765240	0.0569161517	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
0.7600000000	-33.3028152895	12.9015030137	11.9249256123	0.5569542992	1.0757610437	0.3585870146	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0205691615	1.0009308003	-0.3412527657	-0.0232547494	0.0894178683	-0.9242694743	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1489585718	-0.0575265126	-0.1396200504	0.2314183261	-0.0749828336	0.0546578164	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8064393072	0.8250125887	2.4750377661	
0.7800000000	-60.7080186160	29.6253910124	27.4738689250	0.6637674525	1.1825741970	0.4043640803	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.0081177996	0.9757839322	-0.2996261540	-0.0172732128	0.0935683223	-0.9210955978	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1506065461	-0.0563668269	-0.1385214008	0.2323338674	-0.0688181888	0.0508735790	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2312504768	2.8064393072	0.8250125887	2.4750377661	
0.8000000000	-100.5188067445	43.4500648508	49.6910048066	0.8316166934	1.1825741970	0.3433279927	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0186160067	0.9492942702	-0.2703288319	-0.0205691615	0.0930800336	-0.9230487526	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1516441596	-0.0546578164	-0.1383382925	0.2319066148	-0.0736400397	0.0484321355	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
